Temperature_Sensor_Sample_Input,Humidity_Sensor_Sample_Input,Light_Sensor_Sample_Input,CO2_Sensor_Sample_Input,HumidityRatio_Sensor_Sample_Input,Golden_Reference_Occupancy,Python_Predicted_Occupancy
212,113,87,84,179,1,1
213,113,86,87,180,1,1
213,112,86,89,179,1,1
213,109,74,90,177,1,1
215,111,73,91,179,1,1
215,113,85,94,181,1,1
213,113,80,96,181,1,1
215,113,76,96,181,1,1
215,115,71,98,183,1,1
214,116,76,99,183,1,1
214,118,72,101,185,1,1
212,121,72,103,186,1,1
212,122,71,105,186,1,1
212,125,70,109,189,1,1
212,127,69,111,190,1,1
212,130,69,113,193,1,1
212,132,68,118,195,1,1
206,130,68,121,189,1,1
208,132,68,122,193,1,1
209,134,69,123,195,1,1
208,136,71,125,195,1,1
206,137,69,128,195,1,1
206,139,74,130,197,1,1
206,141,79,131,198,1,1
206,142,80,133,199,1,1
206,142,78,136,199,1,1
207,143,74,139,201,1,1
206,143,77,140,200,1,1
206,144,75,138,201,1,1
206,146,78,140,203,1,1
206,147,78,144,204,1,1
206,149,75,144,205,1,1
206,149,73,145,205,1,1
206,148,76,147,204,1,1
206,149,76,149,205,1,1
207,150,75,149,207,1,1
210,152,75,150,210,1,1
206,152,72,152,207,1,1
206,152,72,154,208,1,1
206,154,71,155,209,1,1
206,156,70,156,211,1,1
206,155,72,157,210,1,1
204,154,69,156,208,1,1
202,155,71,157,208,1,1
206,159,70,158,214,1,1
201,160,68,164,211,1,1
199,159,68,164,210,1,1
199,160,68,162,210,1,1
199,160,68,163,210,1,1
199,160,66,163,210,1,1
199,160,65,164,210,1,1
199,161,66,164,211,1,1
196,163,68,165,211,1,1
193,165,68,165,210,1,1
193,165,67,169,211,1,1
193,165,67,170,211,1,1
193,165,68,170,211,1,1
193,166,68,171,211,1,1
193,170,68,173,214,1,1
192,171,69,173,214,1,1
193,169,69,172,213,1,1
192,172,69,173,215,1,1
193,174,70,176,217,1,1
189,174,71,177,215,1,1
191,174,70,176,216,1,1
187,174,70,179,214,1,1
188,175,70,177,215,1,1
187,179,69,176,218,1,1
187,179,70,180,218,1,1
187,178,70,181,217,1,1
187,177,70,180,216,1,1
187,178,68,181,217,1,1
187,175,69,182,215,1,1
187,176,70,180,216,1,1
186,176,69,182,215,1,1
181,171,69,179,208,1,1
183,174,67,177,211,1,1
187,174,69,178,214,1,1
182,177,69,183,214,1,1
181,176,70,183,212,1,1
181,178,70,182,213,1,1
181,177,70,183,213,1,1
181,179,69,185,214,1,1
181,179,68,187,214,1,1
181,180,68,186,215,1,1
181,182,67,186,216,1,1
181,182,67,193,216,1,1
178,182,67,191,214,1,1
178,184,68,191,217,1,1
178,184,67,191,217,1,1
180,183,66,190,217,1,1
176,186,66,191,217,1,1
178,186,66,194,218,1,1
175,187,66,195,217,1,1
175,189,66,195,219,1,1
175,185,66,193,215,1,1
175,158,66,186,194,1,1
173,154,66,173,189,1,1
170,148,65,160,183,1,1
170,155,64,163,188,1,1
169,162,64,165,194,1,1
169,159,64,166,191,1,1
168,158,64,165,189,1,1
169,158,64,165,190,1,1
169,161,64,165,192,1,1
168,162,64,168,193,1,1
166,163,64,169,192,1,1
169,163,64,172,194,1,1
166,165,64,173,195,1,1
167,163,64,172,193,1,1
166,164,64,172,193,1,1
169,165,64,172,196,1,1
166,165,64,173,194,1,1
169,164,64,173,195,1,1
164,163,64,172,191,1,1
162,163,64,172,190,1,1
162,159,64,170,187,1,1
161,156,65,169,184,1,1
161,151,65,166,180,1,1
161,149,64,164,179,1,1
162,149,65,161,179,1,1
158,145,65,160,173,1,1
159,143,65,157,173,1,1
156,143,65,155,171,1,1
156,138,66,154,167,1,1
156,137,65,153,167,1,1
156,135,65,151,164,1,1
156,133,64,150,163,1,1
155,131,65,147,161,1,1
155,128,65,145,158,1,1
151,126,64,143,155,1,1
152,125,65,144,154,1,1
151,124,65,142,153,1,1
151,120,66,141,150,1,1
151,118,66,140,149,1,1
151,118,66,137,148,1,1
151,115,66,136,146,1,1
151,113,66,135,144,1,1
151,111,66,134,143,1,1
151,110,65,131,142,1,1
151,106,66,129,139,1,1
151,108,66,128,141,1,1
151,106,65,128,139,1,1
151,104,65,128,137,1,1
151,104,65,130,137,1,1
151,101,65,128,135,1,1
150,99,64,124,133,1,1
147,97,64,124,130,1,1
145,94,64,122,126,1,1
149,95,64,121,129,1,1
145,93,65,119,125,1,1
146,91,65,120,125,1,1
146,93,66,120,127,1,1
145,89,66,120,123,1,1
148,90,65,118,125,1,1
145,86,66,115,120,1,1
145,84,66,113,119,1,1
145,84,66,113,119,1,1
145,84,65,114,119,1,1
145,82,64,112,118,1,1
145,82,66,111,117,1,1
145,82,64,109,118,1,1
145,79,64,107,115,1,1
145,80,64,106,115,1,1
145,80,64,105,116,1,1
145,78,65,105,114,1,1
145,78,65,106,114,1,1
145,78,64,105,114,1,1
145,79,64,103,115,1,1
145,81,63,105,117,1,1
145,81,64,105,116,1,1
143,79,65,105,114,1,1
144,81,65,103,115,1,1
143,80,65,102,115,1,1
143,76,65,102,111,1,1
142,84,65,103,117,1,1
145,76,65,102,113,1,1
144,80,65,100,115,1,1
143,76,65,101,111,1,1
140,77,65,103,111,1,1
141,75,65,103,110,1,1
139,75,65,101,108,1,1
139,76,65,100,110,1,1
139,76,65,100,109,1,1
143,73,65,100,109,1,1
140,75,64,101,110,1,1
140,78,64,103,111,1,1
143,80,65,106,115,1,1
145,78,65,107,114,1,1
145,79,65,108,115,1,1
145,80,65,109,115,1,1
145,81,65,111,117,1,1
145,81,64,110,117,1,1
145,81,63,109,116,1,1
145,83,65,111,118,1,1
145,80,64,110,116,0,1
145,84,63,111,119,0,1
145,84,63,111,119,0,1
141,83,63,111,116,0,1
141,83,64,111,116,0,1
141,82,63,109,115,0,1
140,81,64,106,114,0,1
139,79,63,104,112,0,1
139,78,62,102,111,0,1
139,78,62,105,111,0,1
139,78,62,103,111,0,1
139,76,62,101,109,0,1
139,75,62,100,109,0,1
139,75,62,101,109,0,1
139,75,62,100,109,0,1
138,75,62,98,108,0,1
136,74,62,99,106,0,1
139,75,62,98,108,0,1
134,72,62,96,103,0,1
136,73,62,95,106,0,1
132,70,62,94,102,0,1
134,71,62,94,103,0,1
132,70,62,92,102,0,1
132,71,62,90,102,1,1
132,71,62,90,102,1,1
132,71,62,90,102,1,1
132,68,62,90,100,1,1
132,72,62,90,103,1,1
132,76,62,92,106,1,1
132,85,62,96,113,1,1
132,81,46,99,110,1,1
132,78,0,98,108,0,0
130,78,0,95,106,0,0
128,78,0,92,106,0,0
131,78,0,92,106,0,0
128,75,0,92,103,0,0
126,76,0,92,103,0,0
126,76,0,91,103,0,0
124,75,0,89,101,0,0
124,74,0,88,100,0,0
123,73,0,87,99,0,0
124,74,0,87,100,0,0
121,73,0,87,98,0,0
121,73,0,87,98,0,0
121,71,0,86,96,0,0
121,73,0,84,98,0,0
117,70,0,84,94,0,0
115,70,0,83,93,0,0
118,71,0,83,95,0,0
115,70,0,81,93,0,0
115,70,0,81,93,0,0
117,70,0,79,94,0,0
115,70,0,78,93,0,0
115,70,0,75,92,0,0
113,69,0,77,91,0,0
113,69,0,76,91,0,0
109,67,0,75,87,0,0
107,68,0,74,87,0,0
107,66,0,75,86,0,0
105,68,0,75,86,0,0
104,65,0,73,83,0,0
102,65,0,72,82,0,0
102,65,0,70,83,0,0
102,65,0,69,82,0,0
102,65,0,69,82,0,0
97,63,0,70,78,0,0
98,64,0,69,79,0,0
96,62,0,68,77,0,0
96,62,0,68,77,0,0
96,62,0,68,77,0,0
94,62,0,67,76,0,0
94,61,0,65,76,0,0
94,61,0,63,75,0,0
90,59,0,62,72,0,0
90,59,0,62,72,0,0
90,59,0,62,72,0,0
90,59,0,61,72,0,0
87,58,0,60,70,0,0
84,57,0,59,68,0,0
84,57,0,59,68,0,0
84,57,0,59,68,0,0
78,58,0,58,66,0,0
78,57,0,58,65,0,0
81,57,0,57,66,0,0
78,57,0,55,65,0,0
78,57,0,55,65,0,0
78,57,0,54,65,0,0
78,57,0,54,65,0,0
78,55,0,54,64,0,0
78,56,0,54,64,0,0
78,55,0,52,63,0,0
78,55,0,51,64,0,0
78,55,0,50,63,0,0
78,54,0,50,63,0,0
78,54,0,50,63,0,0
78,54,0,49,63,0,0
78,54,0,48,63,0,0
77,53,0,48,61,0,0
72,51,0,49,58,0,0
74,49,0,48,57,0,0
72,50,0,47,57,0,0
72,49,0,45,56,0,0
72,50,0,46,57,0,0
70,48,0,45,55,0,0
68,51,0,46,56,0,0
69,50,0,46,56,0,0
67,50,0,44,55,0,0
70,51,0,45,57,0,0
72,50,0,44,57,0,0
67,48,0,44,53,0,0
66,50,0,43,54,0,0
66,50,0,42,54,0,0
66,48,0,41,53,0,0
66,49,0,41,53,0,0
66,48,0,41,53,0,0
66,48,0,41,53,0,0
63,47,0,41,51,0,0
62,46,0,41,50,0,0
61,46,0,39,49,0,0
60,45,0,39,48,0,0
60,45,0,40,48,0,0
60,45,0,40,48,0,0
60,45,0,39,48,0,0
60,45,0,39,48,0,0
60,45,0,38,48,0,0
60,44,0,37,47,0,0
60,45,0,36,48,0,0
60,43,0,35,46,0,0
60,45,0,36,48,0,0
59,43,0,36,46,0,0
58,43,0,35,46,0,0
56,42,0,34,44,0,0
54,42,0,34,43,0,0
56,42,0,32,43,0,0
54,40,0,32,42,0,0
56,40,0,32,43,0,0
54,40,0,32,42,0,0
54,40,0,30,42,0,0
54,40,0,31,42,0,0
54,40,0,31,42,0,0
54,40,0,30,41,0,0
54,38,0,30,41,0,0
54,37,0,30,39,0,0
54,37,0,31,39,0,0
54,38,0,30,40,0,0
54,38,0,29,40,0,0
56,38,0,29,41,0,0
54,38,0,27,40,0,0
56,38,0,26,41,0,0
54,35,0,28,38,0,0
54,37,0,29,39,0,0
54,38,0,28,40,0,0
54,38,0,28,40,0,0
54,38,0,28,40,0,0
54,38,0,27,40,0,0
54,38,0,25,40,0,0
54,36,0,25,39,0,0
54,35,0,24,38,0,0
54,35,0,24,38,0,0
56,35,0,24,38,0,0
54,35,0,24,38,0,0
54,35,0,24,38,0,0
54,35,0,23,38,0,0
54,34,0,24,37,0,0
54,35,0,24,38,0,0
54,34,0,24,37,0,0
54,33,0,25,37,0,0
53,33,0,24,36,0,0
53,33,0,23,36,0,0
54,32,0,25,36,0,0
50,32,0,23,34,0,0
49,32,0,22,34,0,0
49,32,0,23,34,0,0
48,32,0,24,33,0,0
48,32,0,24,33,0,0
48,31,0,23,32,0,0
48,31,0,22,33,0,0
48,31,0,23,33,0,0
48,32,0,24,33,0,0
48,32,0,24,33,0,0
48,32,0,23,33,0,0
48,32,0,21,33,0,0
48,32,0,21,33,0,0
46,32,0,20,32,0,0
48,32,0,20,33,0,0
46,32,0,21,32,0,0
46,32,0,20,32,0,0
48,32,0,21,33,0,0
41,29,0,21,28,0,0
41,31,0,21,29,0,0
41,30,0,21,29,0,0
41,31,0,20,29,0,0
41,31,0,18,30,0,0
41,30,0,17,29,0,0
41,29,0,17,28,0,0
41,29,0,17,28,0,0
41,29,0,17,28,0,0
41,29,0,17,28,0,0
41,29,0,16,28,0,0
41,27,0,17,27,0,0
41,27,0,14,27,0,0
41,27,0,16,27,0,0
41,27,0,17,27,0,0
41,27,0,17,27,0,0
41,27,0,19,27,0,0
41,27,0,18,27,0,0
41,27,0,17,27,0,0
41,27,0,17,27,0,0
41,27,0,17,27,0,0
46,27,0,16,29,0,0
43,27,0,16,27,0,0
41,27,0,17,27,0,0
41,25,0,18,26,0,0
41,25,0,17,26,0,0
43,24,0,16,25,0,0
44,24,0,16,26,0,0
41,24,0,16,25,0,0
41,23,0,15,24,0,0
44,22,0,15,25,0,0
41,24,0,15,25,0,0
41,24,0,16,25,0,0
43,23,0,16,25,0,0
41,22,0,15,24,0,0
41,21,0,15,23,0,0
43,22,0,15,24,0,0
41,23,0,15,24,0,0
45,21,0,14,24,0,0
41,22,0,14,23,0,0
41,21,0,13,23,0,0
41,21,0,12,23,0,0
41,21,0,12,23,0,0
41,21,0,12,23,0,0
41,21,0,13,23,0,0
41,21,0,13,23,0,0
41,21,0,14,23,0,0
39,20,0,13,21,0,0
41,21,0,13,23,0,0
41,20,0,11,22,0,0
41,21,0,12,23,0,0
41,20,0,14,22,0,0
41,21,0,13,23,0,0
41,21,0,13,23,0,0
41,20,0,14,22,0,0
41,20,0,14,22,0,0
41,18,0,12,21,0,0
41,17,0,12,20,0,0
41,19,0,13,21,0,0
41,18,0,12,21,0,0
41,18,0,13,21,0,0
40,18,0,12,20,0,0
40,18,0,12,20,0,0
41,18,0,13,21,0,0
41,18,0,11,21,0,0
41,18,0,11,20,0,0
40,15,0,10,18,0,0
40,16,0,11,19,0,0
41,16,0,11,19,0,0
41,16,0,10,19,0,0
39,15,0,10,18,0,0
36,14,0,10,15,0,0
35,13,0,10,15,0,0
35,14,0,11,15,0,0
37,17,0,11,18,0,0
35,13,0,10,15,0,0
35,14,0,10,15,0,0
35,16,0,10,16,0,0
35,14,0,10,15,0,0
35,14,0,11,15,0,0
35,16,0,11,16,0,0
35,13,0,11,15,0,0
35,13,0,10,15,0,0
34,13,0,8,14,0,0
35,13,0,10,15,0,0
35,14,0,10,15,0,0
32,13,0,10,13,0,0
35,13,0,10,15,0,0
35,13,0,10,15,0,0
35,13,0,10,15,0,0
33,13,0,11,13,0,0
33,13,0,11,14,0,0
31,13,0,9,13,0,0
31,13,0,8,13,0,0
31,13,0,8,13,0,0
33,12,0,8,12,0,0
31,12,0,8,12,0,0
33,12,0,9,13,0,0
31,10,0,9,11,0,0
31,10,0,8,11,0,0
34,10,0,9,12,0,0
33,10,0,8,11,0,0
30,10,0,8,10,0,0
30,10,0,10,10,0,0
34,10,0,8,12,0,0
31,11,0,7,11,0,0
30,10,0,9,10,0,0
32,10,0,9,11,0,0
30,10,0,8,10,0,0
30,10,0,8,10,0,0
31,10,0,8,11,0,0
30,10,0,9,10,0,0
31,9,0,8,10,0,0
30,10,0,7,10,0,0
30,10,0,8,10,0,0
31,10,0,9,11,0,0
30,10,0,9,10,0,0
30,9,0,8,10,0,0
30,10,0,7,10,0,0
30,10,0,7,10,0,0
30,10,0,7,10,0,0
30,8,0,8,9,0,0
30,10,0,9,10,0,0
31,10,0,8,10,0,0
31,9,0,9,10,0,0
32,7,0,8,9,0,0
30,7,0,8,8,0,0
33,7,0,8,9,0,0
31,7,0,7,8,0,0
33,7,0,7,9,0,0
34,7,0,7,10,0,0
33,7,0,7,10,0,0
34,7,0,6,10,0,0
33,7,0,6,9,0,0
32,7,0,7,9,0,0
32,6,0,6,8,0,0
30,6,0,6,7,0,0
33,6,0,6,9,0,0
33,7,0,6,9,0,0
32,7,0,7,9,0,0
33,6,0,6,8,0,0
30,7,0,5,8,0,0
30,7,0,5,8,0,0
30,7,0,6,8,0,0
31,6,0,6,8,0,0
30,6,0,6,7,0,0
30,7,0,6,8,0,0
30,5,0,7,7,0,0
30,5,0,7,6,0,0
30,7,0,7,8,0,0
30,6,0,8,7,0,0
30,5,0,7,6,0,0
30,5,0,7,6,0,0
30,5,0,6,6,0,0
30,6,0,7,7,0,0
30,5,0,7,6,0,0
30,5,0,5,6,0,0
30,5,0,6,6,0,0
30,5,0,6,6,0,0
30,5,0,6,6,0,0
30,5,0,6,6,0,0
30,5,0,6,6,0,0
30,5,0,6,6,0,0
30,5,0,7,6,0,0
30,5,0,7,6,0,0
30,5,0,7,7,0,0
28,5,0,7,6,0,0
28,5,0,6,6,0,0
30,5,0,6,6,0,0
28,3,0,6,4,0,0
28,4,0,6,5,0,0
28,4,0,5,5,0,0
25,3,0,5,3,0,0
28,4,0,6,5,0,0
27,3,0,6,4,0,0
26,3,0,6,4,0,0
26,4,0,6,4,0,0
30,5,0,6,6,0,0
28,4,0,5,5,0,0
25,3,0,6,4,0,0
28,4,0,5,5,0,0
25,3,0,4,3,0,0
27,4,0,4,5,0,0
28,4,0,6,5,0,0
26,3,0,6,4,0,0
26,3,0,5,4,0,0
27,3,0,4,4,0,0
27,3,0,4,4,0,0
27,3,0,5,4,0,0
26,3,0,7,4,0,0
27,3,0,5,4,0,0
25,3,0,5,3,0,0
24,2,0,5,2,0,0
24,2,0,6,2,0,0
24,3,0,6,3,0,0
24,2,0,5,2,0,0
24,2,0,4,2,0,0
24,3,0,4,3,0,0
24,2,0,6,2,0,0
24,2,0,7,2,0,0
24,2,0,7,2,0,0
26,3,0,6,4,0,0
24,2,0,6,2,0,0
24,2,0,5,2,0,0
24,2,0,4,2,0,0
24,2,0,4,2,0,0
24,2,0,4,2,0,0
24,2,0,5,2,0,0
22,3,0,4,2,0,0
24,3,0,4,3,0,0
22,4,0,5,3,0,0
23,4,0,5,3,0,0
24,3,0,6,3,0,0
24,4,0,5,3,0,0
24,2,0,5,2,0,0
22,2,0,5,2,0,0
21,4,0,6,2,0,0
24,2,0,6,2,0,0
24,2,0,6,2,0,0
22,3,0,5,2,0,0
22,4,0,4,3,0,0
24,2,0,4,2,0,0
24,4,0,6,3,0,0
24,3,0,5,3,0,0
24,2,0,5,2,0,0
24,4,0,5,3,0,0
24,2,0,4,2,0,0
24,2,0,4,2,0,0
24,2,0,5,2,0,0
24,2,0,5,2,0,0
24,2,0,5,2,0,0
24,2,0,5,2,0,0
23,2,0,6,2,0,0
24,2,0,6,2,0,0
24,2,0,6,2,0,0
24,2,0,5,2,0,0
24,3,0,5,3,0,0
24,3,0,5,3,0,0
24,2,0,4,2,0,0
23,3,0,4,2,0,0
22,4,0,4,2,0,0
24,2,0,5,2,0,0
24,4,0,6,3,0,0
24,5,0,6,4,0,0
24,5,0,6,4,0,0
21,5,0,5,3,0,0
21,5,0,5,3,0,0
19,3,0,6,1,0,0
22,5,0,4,3,0,0
24,5,0,5,4,0,0
22,5,0,6,3,0,0
22,5,0,6,3,0,0
23,4,0,5,3,0,0
20,4,0,6,2,0,0
22,2,0,5,2,0,0
22,5,0,6,3,0,0
19,4,0,6,2,0,0
24,2,0,7,2,0,0
24,4,0,6,3,0,0
21,5,0,5,3,0,0
24,5,0,5,4,0,0
21,5,0,5,3,0,0
21,5,0,6,3,0,0
24,5,0,6,4,0,0
19,4,0,6,2,0,0
19,5,0,5,2,0,0
19,5,0,6,2,0,0
18,4,0,6,1,0,0
18,5,0,6,1,0,0
19,5,0,6,2,0,0
24,4,0,6,3,0,0
18,2,0,5,0,0,0
24,3,0,5,3,0,0
21,2,0,5,1,0,0
24,2,0,6,2,0,0
22,2,0,5,1,0,0
22,2,0,5,1,0,0
22,2,0,4,2,0,0
21,3,0,4,2,0,0
24,3,0,5,3,0,0
24,3,0,6,3,0,0
24,2,0,6,2,0,0
22,2,0,7,1,0,0
24,2,0,6,2,0,0
24,2,0,6,2,0,0
24,1,0,5,1,0,0
24,0,0,4,1,0,0
24,0,0,5,0,0,0
24,0,0,4,0,0,0
24,0,0,4,1,0,0
24,0,0,4,0,0,0
23,1,0,4,1,0,0
22,0,0,4,0,0,0
24,0,0,5,0,0,0
22,0,0,4,0,0,0
24,1,0,4,1,0,0
22,0,0,3,0,0,0
22,0,0,4,0,0,0
24,0,0,4,0,0,0
24,0,0,4,0,0,0
24,0,0,5,1,0,0
24,0,0,4,1,0,0
24,0,0,3,0,0,0
22,2,0,3,1,0,0
22,2,0,3,1,0,0
24,0,0,4,1,0,0
22,0,0,4,0,0,0
21,2,0,3,1,0,0
22,2,0,4,1,0,0
19,2,0,4,0,0,0
21,2,0,4,1,0,0
24,2,0,4,2,0,0
20,2,0,4,1,0,0
23,2,0,4,2,0,0
24,2,0,5,2,0,0
24,2,0,4,2,0,0
21,2,0,4,1,0,0
21,2,0,5,1,0,0
24,2,0,4,2,0,0
23,2,0,4,2,0,0
24,2,0,4,2,0,0
22,2,0,4,2,0,0
22,3,0,6,2,0,0
22,4,0,4,3,0,0
24,3,0,4,3,0,0
20,2,0,4,1,0,0
21,2,0,5,1,0,0
24,2,0,4,2,0,0
22,2,0,3,2,0,0
19,3,0,5,1,0,0
19,4,0,3,2,0,0
18,5,0,3,1,0,0
19,5,0,4,2,0,0
18,5,0,3,1,0,0
18,5,0,3,1,0,0
18,5,0,3,1,0,0
18,5,0,3,1,0,0
18,5,0,3,1,0,0
18,5,0,4,1,0,0
18,5,0,4,1,0,0
18,5,0,3,1,0,0
18,5,0,2,1,0,0
18,5,0,4,1,0,0
18,5,0,3,1,0,0
18,5,0,2,1,0,0
18,5,0,3,1,0,0
18,5,0,2,1,0,0
18,5,0,2,1,0,0
18,5,0,3,1,0,0
18,5,0,3,1,0,0
18,5,0,3,1,0,0
18,5,0,3,1,0,0
18,5,0,3,1,0,0
18,5,0,2,1,0,0
18,5,0,3,1,0,0
18,5,0,2,1,0,0
18,5,0,2,1,0,0
18,5,0,3,2,0,0
18,7,0,5,3,0,0
18,6,0,3,3,0,0
18,7,0,3,3,0,0
18,7,0,4,3,0,0
18,7,0,3,3,0,0
18,7,0,2,3,0,0
18,7,0,3,3,0,0
18,5,0,2,1,0,0
18,6,0,1,2,0,0
18,5,0,0,2,0,0
18,5,0,2,2,0,0
18,6,0,2,3,0,0
18,7,0,1,3,0,0
18,7,0,2,3,0,0
18,7,0,2,3,0,0
18,7,0,3,3,0,0
18,6,0,3,2,0,0
18,7,0,2,3,0,0
18,7,0,2,3,0,0
15,6,0,3,2,0,0
18,7,0,3,3,0,0
18,5,0,2,2,0,0
18,7,0,2,3,0,0
18,6,0,1,3,0,0
18,7,0,1,3,0,0
18,6,0,1,2,0,0
18,7,0,2,3,0,0
18,7,0,2,3,0,0
18,7,0,1,3,0,0
18,7,0,1,3,0,0
18,7,0,2,3,0,0
18,7,0,3,3,0,0
16,7,0,2,2,0,0
15,6,0,1,1,0,0
16,7,0,1,3,0,0
18,7,0,2,3,0,0
13,6,0,2,0,0,0
18,7,0,1,3,0,0
16,7,0,2,3,0,0
13,6,0,2,0,0,0
13,7,0,0,1,0,0
15,8,0,3,2,0,0
16,7,0,3,2,0,0
15,7,0,4,2,0,0
18,7,0,4,3,0,0
13,6,0,2,0,0,0
15,9,0,2,4,0,0
16,10,0,0,4,0,0
18,9,0,0,4,0,0
18,8,0,2,4,0,0
16,7,0,2,3,0,0
14,6,0,1,1,0,0
18,9,0,1,4,0,0
18,7,0,1,3,0,0
18,7,0,1,3,0,0
18,7,0,1,3,0,0
18,7,0,2,3,0,0
18,7,0,2,3,0,0
18,8,0,2,4,0,0
18,9,0,0,4,0,0
18,7,0,2,3,0,0
16,7,0,2,3,0,0
18,9,0,3,5,0,0
18,9,0,2,4,0,0
18,7,0,1,3,0,0
18,7,0,1,3,0,0
16,7,0,1,2,0,0
16,8,0,2,3,0,0
18,10,0,2,5,0,0
18,10,0,0,5,0,0
14,8,0,2,2,0,0
13,6,0,1,0,0,0
11,7,0,0,0,0,0
11,7,0,0,0,0,0
11,7,0,1,0,0,0
11,7,0,2,0,0,0
11,7,0,1,0,0,0
11,10,0,1,2,0,0
11,9,0,0,2,0,0
11,10,0,0,2,0,0
11,10,0,1,2,0,0
11,10,0,2,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,10,0,3,2,0,0
11,10,0,2,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,2,2,0,0
11,10,0,1,2,0,0
9,10,0,0,1,0,0
11,10,0,1,2,0,0
11,10,0,0,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,9,0,1,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,9,0,3,2,0,0
11,10,0,2,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,9,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,2,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,9,0,2,1,0,0
11,8,0,1,1,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,9,0,2,2,0,0
11,10,0,2,2,0,0
11,10,0,1,2,0,0
11,9,0,1,2,0,0
11,9,0,1,1,0,0
11,10,0,1,2,0,0
11,10,0,3,2,0,0
11,10,0,2,2,0,0
11,10,0,3,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,8,0,2,1,0,0
11,10,0,2,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,2,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,3,2,0,0
11,10,0,3,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,10,0,3,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
9,10,0,2,2,0,0
11,10,0,1,2,0,0
11,10,0,2,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,1,2,0,0
11,10,0,2,2,0,0
11,10,0,2,2,0,0
9,10,0,2,2,0,0
9,10,0,1,2,0,0
8,12,0,2,2,0,0
6,13,0,1,2,0,0
6,13,0,1,2,0,0
9,13,0,3,3,0,0
8,13,0,3,3,0,0
9,12,0,2,3,0,0
5,13,0,2,2,0,0
5,13,0,1,2,0,0
5,13,0,2,2,0,0
7,13,0,2,3,0,0
5,13,0,2,2,0,0
7,13,0,1,3,0,0
5,13,0,1,2,0,0
5,14,0,3,2,0,0
5,14,0,3,2,0,0
5,15,0,2,3,0,0
5,16,0,1,3,0,0
5,16,0,1,3,0,0
5,16,0,1,3,0,0
5,16,0,2,3,0,0
5,16,0,3,3,0,0
5,14,0,1,3,0,0
5,13,0,1,2,0,0
5,16,0,2,3,0,0
5,15,0,1,3,0,0
5,16,0,2,3,0,0
5,16,0,3,3,0,0
5,16,0,2,3,0,0
5,15,0,2,3,0,0
5,14,0,0,3,0,0
5,16,0,1,3,0,0
5,16,0,2,3,0,0
5,16,0,2,3,0,0
5,16,0,2,3,0,0
5,16,0,2,3,0,0
5,16,0,2,3,0,0
5,16,0,1,3,0,0
5,16,0,0,3,0,0
5,16,0,1,3,0,0
4,15,0,2,3,0,0
3,15,0,1,2,0,0
5,16,0,0,3,0,0
5,16,0,2,3,0,0
5,16,0,2,3,0,0
5,16,0,2,3,0,0
5,16,0,2,3,0,0
5,16,0,1,3,0,0
5,16,0,2,4,0,0
4,16,0,1,3,0,0
